0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
B10000,コミック,9784091336873,花にけだもの　　　２　　　　　,杉山　美和子　著　　,小学館　　　　,20110325,400,2401,聖蹟桜ヶ丘店,20121217,20130727,27,2,9330
B10000,コミック,9784091355409,人間回収車　　　１　　　　　　,泉道　亜紀　著　　　,小学館　　　　,20130701,400,2401,聖蹟桜ヶ丘店,20130701,0,0,2,1789
B10000,コミック,9784091416278,どうぶつの森　ホヒンダ村だより,あべ　さより　著　　,小学館　　　　,20130328,486,2401,聖蹟桜ヶ丘店,20130328,20130713,1,2,3109
B10000,コミック,9784592193517,ＷＩＬＤ　ＷＩＮＧ　　　　　　,弓　きいろ　著　　　,白泉社　　　　,20130605,429,2401,聖蹟桜ヶ丘店,20130628,20130720,5,2,1547
B10000,コミック,9784861279355,にがくてあまい　　　４　　　　,小林　ユミヲ　著　　,マッグガーデン,20120114,533,2401,聖蹟桜ヶ丘店,20120719,20121205,9,2,2384
B10000,新書・選書,9784757523937,ソウルイーター　超ＧＵＩＤＥ　,大久保　篤　著　　　,スクウェア・エ,20090101,857,2401,聖蹟桜ヶ丘店,20121220,20101127,10,2,3182
B10000,エンターテイメント,9784781701479,『ワンピース』の掟　　　　　　,クルーひとつなぎ　著,データハウス　,20130601,1000,2401,聖蹟桜ヶ丘店,20130611,20130624,2,2,146
B11010,文庫,9784062633420,同級生　　　　　　　　　　　　,東野　圭吾　　　　　,講談社　　　　,19960801,690,2401,聖蹟桜ヶ丘店,20120611,20130811,101,5,14852
B11010,文庫,9784062633499,名探偵の呪縛　　　　　　　　　,東野　圭吾　　　　　,講談社　　　　,19961001,590,2401,聖蹟桜ヶ丘店,20100805,20121206,55,4,10898
B11010,文庫,9784062751360,変化　交代寄合伊那衆異聞　　　,佐伯　泰英　著　　　,講談社　　　　,20050701,619,2401,聖蹟桜ヶ丘店,20130108,20121225,40,2,5797
B11010,文庫,9784062752701,雷鳴　交代寄合伊那衆異聞　　　,佐伯　泰英　著　　　,講談社　　　　,20051201,619,2401,聖蹟桜ヶ丘店,20130313,20130227,46,2,5435
B11010,文庫,9784062760492,子どもたちは夜と遊ぶ　上　　　,辻村　深月　著　　　,講談社　　　　,20080501,750,2401,聖蹟桜ヶ丘店,20120817,20130801,30,4,4153
B11010,文庫,9784062762113,御暇　交代寄合伊那衆異聞　　　,佐伯　泰英　著　　　,講談社　　　　,20081101,619,2401,聖蹟桜ヶ丘店,20130409,20130327,37,2,6979
B11020,文庫,9784101104027,ぼんち　　　　　　　　　　　　,山崎　豊子　著　　　,新潮社　　　　,20050801,890,2401,聖蹟桜ヶ丘店,20131021,20131001,8,2,1856
B11020,文庫,9784101167510,格闘する者に○　　　　　　　　,三浦　しをん　著　　,新潮社　　　　,20050301,520,2401,聖蹟桜ヶ丘店,20130322,20130322,23,3,3285
B11020,文庫,9784101250229,ラッシュライフ　　　　　　　　,伊坂　幸太郎　著　　,新潮社　　　　,20050501,670,2401,聖蹟桜ヶ丘店,20121222,20121215,172,7,32674
B11020,文庫,9784101273716,橘花抄　　　　　　　　　　　　,葉室　麟　著　　　　,新潮社　　　　,20130501,670,2401,聖蹟桜ヶ丘店,20130701,20130903,5,2,2787
B11020,文庫,9784101380483,日光代参　新・古着屋総兵衛　　,佐伯　泰英　著　　　,新潮社　　　　,20120301,630,2401,聖蹟桜ヶ丘店,20130118,20121119,33,5,9572
B11020,文庫,9784101380490,南へ舵を　新・古着屋総兵衛　　,佐伯　泰英　著　　　,新潮社　　　　,20120801,630,2401,聖蹟桜ヶ丘店,20131003,20130814,23,5,8553
B11020,文庫,9784101380506,○に十の字　新・古着屋総兵衛　,佐伯　泰英　著　　　,新潮社　　　　,20121201,630,2401,聖蹟桜ヶ丘店,20131003,20131007,27,6,7778
B11020,文庫,9784101380513,転び者　新・古着屋総兵衛　　　,佐伯　泰英　著　　　,新潮社　　　　,20130601,630,2401,聖蹟桜ヶ丘店,20130611,20130926,15,6,7425
B11020,文庫,9784101425450,駆けこみ交番　　　　　　　　　,乃南　アサ　著　　　,新潮社　　　　,20070901,630,2401,聖蹟桜ヶ丘店,20130118,20120916,22,2,4081
